,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,"TUS LÁGRIMAS",Mora,933695,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
145,"LOVE DIVE",IVE,923402,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
146,FEARLESS,"LE SSERAFIM",923063,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj
147,Unstoppable,Sia,921379,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
148,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",918581,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
149,DÁKITI,"Bad Bunny",911244,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
150,"10 Things I Hate About You","Leah Kate",905795,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
151,Iris,"The Goo Goo Dolls",903301,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
152,Butter,BTS,903069,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
153,"Dark Red","Steve Lacy",902721,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
154,"Blank Space","Taylor Swift",892446,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
155,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,883909,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
156,"Cool for the Summer","Demi Lovato",882285,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
157,"Bohemian Rhapsody - Remastered 2011",Queen,880722,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
158,Dynamite,BTS,879778,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
159,"Todo De Ti","Rauw Alejandro",874195,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
160,"Daddy Issues","The Neighbourhood",873446,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
161,"Shape of You","Ed Sheeran",870652,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
162,"TOUT VA BIEN (feat. Ninho & Naps)",Alonzo,869466,https://open.spotify.com/track/6OZwia8loN0aPS0vTvsBjR
163,"Smells Like Teen Spirit - Remastered",Nirvana,868181,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
164,"Locked out of Heaven","Bruno Mars",866779,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
165,Heather,"Conan Gray",865663,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
166,"love nwantiti (ah ah ah)",CKay,862225,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
167,ZOOM,Jessi,858857,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
168,Riptide,"Vance Joy",857737,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
169,happier,"Olivia Rodrigo",855511,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
170,"The Nights",Avicii,850050,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
171,Savior,"Kendrick Lamar",844012,https://open.spotify.com/track/0YeUVm23SAkUruwEx9LWnt
172,Revenge,XXXTENTACION,838279,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
173,"Tacones Rojos","Sebastian Yatra",834518,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
174,Perfect,"Ed Sheeran",833977,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
175,Toxic,BoyWithUke,831270,https://open.spotify.com/track/3M214U0mwSm041GsQR3nrO
176,"Gangsta's Paradise",Coolio,829952,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
177,"One Dance",Drake,829703,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
178,"There's Nothing Holdin' Me Back","Shawn Mendes",828953,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml
179,"You Right","Doja Cat",828135,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
180,"Only Love Can Hurt Like This","Paloma Faith",826946,https://open.spotify.com/track/62ke5zFUJN6RvtXZgVH0F8
181,"jealousy, jealousy","Olivia Rodrigo",824420,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
182,"Honest (feat. Don Toliver)","Justin Bieber",823066,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
183,"favorite crime","Olivia Rodrigo",819937,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
184,"Mr. Brightside","The Killers",818288,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
185,"Si Quieren Frontear",Duki,817183,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
186,"'Till I Collapse",Eminem,816131,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
187,"We Cry Together","Kendrick Lamar",816124,https://open.spotify.com/track/0RAvy97QRPzO2AfK5Dw6j3
188,"You Proof","Morgan Wallen",812758,https://open.spotify.com/track/5uU1uuyaUIBOiiUSQG7Wl3
189,Freaks,"Surf Curse",809091,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
190,Medallo,Blessd,806538,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
