,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
161,"Save Your Tears","The Weeknd",1834962,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
162,"Work Out","J. Cole",1830767,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
163,"Cover Me Up","Morgan Wallen",1817501,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM
164,"Love Sosa","Chief Keef",1816775,https://open.spotify.com/track/01Lr5YepbgjXAWR9iOEyH1
165,"EA (feat. 21 Savage)","Young Nudy",1812936,https://open.spotify.com/track/68MTDH8Kk4jBEV1ah0n89s
166,"Meet Me At Our Spot","THE ANXIETY",1805412,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
167,"I'M DAT N****",Future,1801929,https://open.spotify.com/track/0AAVJIN4plafvmNKqRCltG
168,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1801203,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
169,2055,"Sleepy Hallow",1795734,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
170,DÁKITI,"Bad Bunny",1795312,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
171,"Me and Your Mama","Childish Gambino",1795169,https://open.spotify.com/track/31tf1qEai5o5f4r66Kd0pU
172,"Martin & Gina","Polo G",1794209,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
173,Iris,"The Goo Goo Dolls",1794072,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
174,"All Girls Are The Same","Juice WRLD",1786697,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
175,"The Real Slim Shady",Eminem,1785064,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
176,Redbone,"Childish Gambino",1784950,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
177,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",1780182,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
178,Circles,"Post Malone",1779423,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
179,"Fair Trade (with Travis Scott)",Drake,1778563,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
180,Softcore,"The Neighbourhood",1776089,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
181,"State Fair","Jack Harlow",1773279,https://open.spotify.com/track/0PyJRNmJvJJ5OmffwQf5we
182,Passionfruit,Drake,1767310,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
183,"It Was A Good Day","Ice Cube",1751649,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
184,"House of Memories","Panic! At The Disco",1751535,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
185,"LA CANCIÓN","J Balvin",1746688,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
186,"Tennessee Whiskey","Chris Stapleton",1741502,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
187,"DOS MORRITAS","Eslabon Armado",1739236,https://open.spotify.com/track/2gpaJPUWNx2xmOwy2NNLu8
188,"Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",1736051,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
189,"Chasin' You","Morgan Wallen",1735413,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
190,"X ÚLTIMA VEZ","Daddy Yankee",1735101,https://open.spotify.com/track/48AJSd42lXpicsGqcgopof
191,"Smells Like Teen Spirit - Remastered",Nirvana,1734924,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
192,"Daddy Issues","The Neighbourhood",1728179,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
193,"In A Minute","Lil Baby",1727242,https://open.spotify.com/track/3ihIZrJreMJPjQdNLrEXnP
194,"Adore You","Harry Styles",1723133,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
195,"jealousy, jealousy","Olivia Rodrigo",1709121,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
196,"SLOW DANCING IN THE DARK",Joji,1707053,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
197,"Sleazy Flow","SleazyWorld Go",1703814,https://open.spotify.com/track/5mt882Eqx22RwFOTE01jS8
198,Sky,"Playboi Carti",1693820,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
199,"Alien Blues",Vundabar,1684779,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
200,"KEEP IT BURNIN (feat. Kanye West)",Future,1673323,https://open.spotify.com/track/7rWCWzPRftzZTZtIyQtaDU
